Nom,Prix,Prix réduit,Lien,Site web,Catégorie,Date de collecte
"ASUS TUF 506HEB-HN150T – Core™ i5 11th, RTX 3050Ti, 16GB, 512GB","8,799.00MAD","10,499.00MAD",https://setupgame.ma/produit/asus-tuf-506heb-rtx-3050ti-prix-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
"HP PAVILION GAMING 15-DK2013NK – Core™ i5 11th, RTX 3050, 8GB, 256Go","8,890.00MAD","9,490.00MAD",https://setupgame.ma/produit/hp-pavilion-15-dk2013nk-rtx-3050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
"ASUS VIVOBOOK PRO N7600PC-K5W – Core™ i7 11th, RTX 3050, 16GB, 512GB","8,999.00MAD","10,799.00MAD",https://setupgame.ma/produit/asus-vivobook-pro-n7600pc-k5w-i7-11th-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
"Dell G15 5511 – Core™ i5 11th, RTX 3050, 8GB, 256GB","9,190.00MAD","10,990.00MAD",https://setupgame.ma/produit/pc-portable-gaming-dell-g15-i5-11th-rtx-3050/,Setup Game,PC Portable,2025-02-03 01:44:20
"HP PAVILION GAMING 15-DK2013NK – Core™ i5 11th, RTX 3050, 16GB, 256Go","9,190.00MAD","9,790.00MAD",https://setupgame.ma/produit/hp-pavilion-15-dk2013nk-rtx-3050-16go-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Cloud Alpha S ( Noir ),"1,199.00MAD","1,499.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-alpha-s-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Alloy Origins 60,"1,199.00MAD","1,399.00MAD",https://setupgame.ma/produit/clavier-gamer-hyperx-alloy-origins-60-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Quadcast S Noir,"1,649.00MAD","2,149.00MAD",https://setupgame.ma/produit/microphone-hyperx-quadcast-s-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Cloud Stinger 2 Core (PC),499.00MAD,599.00MAD,https://setupgame.ma/produit/hyperx-cloud-stinger-2-core-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Cloud III ( Noir ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Cloud Alpha Rouge,899.00MAD,"1,099.00MAD",https://setupgame.ma/produit/hyperx-cloud-alpha-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
HyperX Cloud III ( Rouge ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
Y60 – INTEL CORE ULTRA 7 265KF-RTX 4060Ti 16Go,"25,899.00MAD","29,799.00MAD",https://setupgame.ma/produit/pc-gamer-ultra-7-265kf-rtx-4060ti-maroc/,Setup Game,PC Portable,2025-02-03 01:44:20
"Dell G15 5511 – Core™ i5 11th, RTX 3050, 16GB, 256GB","9,490.00MAD","11,390.00MAD",https://setupgame.ma/produit/dell-g15-i5-11th-rtx-3050-16gb/,Setup Game,PC Portable,2025-02-03 01:44:23
"ASUS TUF DASH FX516PC-HN001W – Core™ i7 11th, RTX 3050, 8GB, 512GB","9,599.00MAD","11,499.00MAD",https://setupgame.ma/produit/asus-dash-fx516pc-hn001w-rtx-3050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"Dell G15 5511 – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","9,690.00MAD","11,690.00MAD",https://setupgame.ma/produit/pc-portable-gaming-dell-g15-i5-11th-rtx-3050ti-8gb/,Setup Game,PC Portable,2025-02-03 01:44:23
"MSI Thin GF63 12UC – Core™ i5 12th, RTX 3050, 8GB, 512GB","9,699.00MAD","11,599.00MAD",https://setupgame.ma/produit/pc-portable-msi-thin-gf63-12uc-rtx-3050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"ASUS TUF DASH FX516PC-HN001W – Core™ i7 11th, RTX 3050, 16GB, 512GB","9,799.00MAD","11,699.00MAD",https://setupgame.ma/produit/asus-dash-fx516pc-hn001w-i7-11th-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"Dell G15 5511 – Core™ i5 11th, RTX 3050Ti, 16GB, 512GB","9,990.00MAD","11,990.00MAD",https://setupgame.ma/produit/dell-g15-i5-11th-rtx-3050ti-16gb/,Setup Game,PC Portable,2025-02-03 01:44:23
"MSI Thin GF63 12UC – Core™ i5 12th, RTX 3050, 16GB, 512GB","9,999.00MAD","11,999.00MAD",https://setupgame.ma/produit/pc-portable-msi-thin-gf63-12uc-rtx-3050-prix-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"LENOVO LOQ 15IRX9 – Core™ i5 13th, RTX 3050, 16GB, 512GB","9,999.00MAD","13,499.00MAD",https://setupgame.ma/produit/pc-portable-lenovo-loq-15irx9-rtx-3050-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
"HP OMEN 15-EK0002NK – Core™ i7 10th, GTX 1660Ti, 16GB, 1To","10,499.00MAD","12,599.00MAD",https://setupgame.ma/produit/hp-omen-15-ek0002nk-gtx-1660ti-maroc/,Setup Game,PC Portable,2025-02-03 01:44:23
